Circuit name,Transfection group,Contents,Concentration (ng/uL),DNA wanted (ng)
SplitChannel,X1,eBFP2,50,50
SplitChannel,X1,PgU,50,200
SplitChannel,X1,CasE_rec_mNeonGreen,50,50
SplitChannel,X2,mKO2,50,50
SplitChannel,X2,CasE,50,50
SplitChannel,X2,PgU_rec_mNeonGreen,50,200
